epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2310.59,0.78577,0.59208,1.07306,0.9149,0.85516,0.93627,0.721,0.83964,0.59398,1.07327,0.0011882,0.0011882,0.0011882
43,2364.83,0.78784,0.59731,1.06506,0.91094,0.8572,0.92745,0.70754,0.87209,0.60463,1.09021,0.0011684,0.0011684,0.0011684
44,2419.36,0.77469,0.59567,1.06277,0.89602,0.8608,0.93551,0.72503,0.85533,0.57876,1.08152,0.0011486,0.0011486,0.0011486
45,2473.6,0.77672,0.58136,1.06445,0.87361,0.88363,0.93178,0.72248,0.81917,0.59061,1.05665,0.0011288,0.0011288,0.0011288
46,2527.73,0.7814,0.5847,1.065,0.9172,0.87216,0.93351,0.72614,0.83953,0.57695,1.07626,0.001109,0.001109,0.001109
47,2582.54,0.77281,0.57096,1.05649,0.91776,0.87358,0.93845,0.72063,0.8377,0.57093,1.06224,0.0010892,0.0010892,0.0010892
48,2636.98,0.7698,0.56849,1.05728,0.91756,0.88538,0.94291,0.72714,0.8232,0.55031,1.05498,0.0010694,0.0010694,0.0010694
49,2691.45,0.76727,0.57545,1.05804,0.90476,0.87358,0.94116,0.7283,0.8279,0.55591,1.06256,0.0010496,0.0010496,0.0010496
50,2745.72,0.74943,0.55616,1.05014,0.92903,0.85531,0.93767,0.72219,0.82168,0.55782,1.05466,0.0010298,0.0010298,0.0010298
51,2800,0.75487,0.55836,1.05104,0.91231,0.87192,0.92955,0.72363,0.81437,0.57809,1.04935,0.00101,0.00101,0.00101
52,2854.28,0.7368,0.55046,1.04567,0.89467,0.86364,0.94078,0.73014,0.80432,0.55375,1.0502,0.0009902,0.0009902,0.0009902
53,2908.86,0.74257,0.53687,1.03943,0.92381,0.88068,0.9457,0.73164,0.82332,0.53842,1.06718,0.0009704,0.0009704,0.0009704
54,2963.39,0.73146,0.53331,1.03713,0.91068,0.89062,0.94403,0.73889,0.81199,0.53131,1.05281,0.0009506,0.0009506,0.0009506
55,3017.77,0.73234,0.52992,1.03759,0.94173,0.87358,0.94176,0.72761,0.82169,0.54592,1.06733,0.0009308,0.0009308,0.0009308
56,3072.11,0.73198,0.53071,1.03062,0.9244,0.86932,0.94044,0.72895,0.81057,0.53528,1.05059,0.000911,0.000911,0.000911
57,3126.37,0.72223,0.52579,1.03775,0.91231,0.88068,0.94117,0.73003,0.81464,0.54993,1.04973,0.0008912,0.0008912,0.0008912
58,3181.14,0.71536,0.52097,1.03584,0.93158,0.87926,0.94334,0.74327,0.79777,0.5238,1.04348,0.0008714,0.0008714,0.0008714
59,3235.47,0.7141,0.52144,1.02213,0.92836,0.88351,0.94442,0.73817,0.79413,0.51189,1.04018,0.0008516,0.0008516,0.0008516
60,3290.02,0.71639,0.51552,1.02378,0.90858,0.90345,0.94659,0.73509,0.81553,0.53096,1.05085,0.0008318,0.0008318,0.0008318
61,3344.46,0.70584,0.50747,1.02581,0.95119,0.8608,0.94625,0.7436,0.78444,0.51939,1.03694,0.000812,0.000812,0.000812
62,3398.64,0.6985,0.49745,1.02058,0.93529,0.87784,0.95265,0.74873,0.78594,0.49415,1.04096,0.0007922,0.0007922,0.0007922
63,3452.9,0.6991,0.49572,1.01583,0.90904,0.89433,0.94564,0.74302,0.80554,0.52225,1.05294,0.0007724,0.0007724,0.0007724
64,3507.32,0.6942,0.49,1.01812,0.94436,0.85795,0.94026,0.74027,0.80235,0.52911,1.04812,0.0007526,0.0007526,0.0007526
65,3561.73,0.69938,0.50415,1.02164,0.90704,0.887,0.93871,0.73558,0.80125,0.52384,1.04481,0.0007328,0.0007328,0.0007328
66,3616.04,0.69769,0.49126,1.02233,0.91361,0.89631,0.94373,0.74555,0.78056,0.49783,1.03602,0.000713,0.000713,0.000713
67,3670.34,0.66352,0.47449,1.00266,0.92598,0.9062,0.95103,0.74829,0.7939,0.49941,1.03945,0.0006932,0.0006932,0.0006932
68,3724.88,0.69829,0.49003,1.01547,0.89619,0.90341,0.95091,0.7577,0.76957,0.49102,1.02338,0.0006734,0.0006734,0.0006734
69,3779.49,0.66934,0.4735,1.01147,0.92588,0.90341,0.94771,0.75538,0.78163,0.48132,1.03392,0.0006536,0.0006536,0.0006536
70,3833.89,0.66764,0.46696,1.00372,0.9264,0.89631,0.94266,0.74125,0.7922,0.4972,1.04161,0.0006338,0.0006338,0.0006338
71,3889.09,0.66462,0.47768,1.00582,0.91075,0.88418,0.93698,0.74303,0.79319,0.51059,1.04641,0.000614,0.000614,0.000614
72,3943.23,0.66491,0.46406,1.00472,0.90329,0.91544,0.9466,0.74826,0.79084,0.49622,1.044,0.0005942,0.0005942,0.0005942
73,3997.81,0.66158,0.46875,1.00543,0.92666,0.87937,0.94067,0.74374,0.79398,0.50686,1.04513,0.0005744,0.0005744,0.0005744
74,4053.07,0.66768,0.46824,1.00491,0.92935,0.89062,0.94848,0.75232,0.78248,0.4781,1.03563,0.0005546,0.0005546,0.0005546
75,4110.86,0.65665,0.4635,0.99955,0.92232,0.88494,0.95145,0.75717,0.77966,0.48101,1.04112,0.0005348,0.0005348,0.0005348
76,4170.02,0.65768,0.45555,1.00303,0.91218,0.90001,0.9514,0.74938,0.78309,0.48301,1.04014,0.000515,0.000515,0.000515
77,4228.67,0.65051,0.45544,0.99408,0.91945,0.89347,0.94759,0.75436,0.77029,0.48405,1.03067,0.0004952,0.0004952,0.0004952
78,4310.2,0.64486,0.4447,0.99678,0.93186,0.89773,0.94987,0.74925,0.78599,0.48633,1.03732,0.0004754,0.0004754,0.0004754
79,4367.25,0.63746,0.44106,0.98918,0.9435,0.88352,0.94752,0.74777,0.7897,0.49282,1.04336,0.0004556,0.0004556,0.0004556
80,4424.11,0.63365,0.44081,0.99083,0.93469,0.8892,0.94886,0.75834,0.7705,0.47504,1.03564,0.0004358,0.0004358,0.0004358
81,4480.47,0.63356,0.43793,0.99223,0.9493,0.87358,0.95418,0.75836,0.76333,0.47695,1.03155,0.000416,0.000416,0.000416
82,4536.63,0.6251,0.43019,0.9867,0.94508,0.87642,0.95013,0.75088,0.78535,0.46431,1.04793,0.0003962,0.0003962,0.0003962
83,4592.67,0.62376,0.4285,0.98339,0.93673,0.88329,0.9501,0.75834,0.76486,0.46876,1.035,0.0003764,0.0003764,0.0003764
84,4649.04,0.62602,0.42708,0.98622,0.92783,0.89485,0.95194,0.75749,0.77944,0.45466,1.04517,0.0003566,0.0003566,0.0003566
85,4705.2,0.60962,0.42471,0.97889,0.92735,0.89915,0.95553,0.75579,0.78289,0.45719,1.04234,0.0003368,0.0003368,0.0003368
86,4760.28,0.6135,0.42139,0.97874,0.93663,0.89062,0.94958,0.75589,0.77843,0.46877,1.04098,0.000317,0.000317,0.000317
87,4814.9,0.61559,0.41742,0.9784,0.93757,0.89593,0.95328,0.75808,0.77116,0.45829,1.03194,0.0002972,0.0002972,0.0002972
88,4869.32,0.61204,0.41744,0.97736,0.93162,0.89026,0.94549,0.7523,0.78659,0.47546,1.03915,0.0002774,0.0002774,0.0002774
89,4923.37,0.59917,0.4044,0.97638,0.93073,0.88494,0.95242,0.75372,0.77367,0.47168,1.03256,0.0002576,0.0002576,0.0002576
90,4977.92,0.60144,0.40578,0.97249,0.92141,0.89935,0.95486,0.75623,0.77022,0.46872,1.02923,0.0002378,0.0002378,0.0002378
91,5069.73,0.51367,0.31066,0.90478,0.94823,0.88068,0.95959,0.76051,0.77067,0.46217,1.03168,0.000218,0.000218,0.000218
92,5123.82,0.5025,0.2988,0.90445,0.95529,0.88006,0.95644,0.76061,0.77401,0.46945,1.03364,0.0001982,0.0001982,0.0001982
93,5177.82,0.5019,0.29061,0.89381,0.95298,0.89242,0.95858,0.76215,0.76324,0.45656,1.02471,0.0001784,0.0001784,0.0001784
94,5231.76,0.49209,0.28894,0.89379,0.92565,0.90197,0.95744,0.76225,0.76263,0.4609,1.02412,0.0001586,0.0001586,0.0001586
95,5286.07,0.48274,0.28161,0.88842,0.93205,0.89631,0.95685,0.7684,0.75902,0.45798,1.02284,0.0001388,0.0001388,0.0001388
96,5340.23,0.48639,0.2781,0.89179,0.9468,0.88636,0.9553,0.76523,0.75291,0.45948,1.02061,0.000119,0.000119,0.000119
97,5394.06,0.47675,0.27512,0.88388,0.94676,0.89347,0.95735,0.76578,0.75131,0.44907,1.02339,9.92e-05,9.92e-05,9.92e-05
98,5447.89,0.47502,0.27375,0.88041,0.9471,0.89489,0.95659,0.76707,0.75221,0.44923,1.02479,7.94e-05,7.94e-05,7.94e-05
99,5501.64,0.46904,0.26976,0.87895,0.94415,0.89205,0.95763,0.76959,0.7508,0.44914,1.02307,5.96e-05,5.96e-05,5.96e-05
100,5556.61,0.46885,0.26913,0.87912,0.9395,0.89489,0.95656,0.76955,0.75253,0.45292,1.02425,3.98e-05,3.98e-05,3.98e-05
